age,educ,exper,hours,nwifeinc,speduc,kidslt6,kidsge6,expersq,black,hispanic
36,16,9.903846154,0,100,16,0,2,98.08616864,0,0
38,16,21.09615385,104,78,14,0,3,445.0477071,1,0
37,18,19.51923077,2080,35,16,1,1,381.0003698,0,0
38,16,2.865384615,0,44.95,16,0,3,8.210428994,0,0
34,20,16.86538462,2184,130,16,2,0,284.4411982,0,0
37,17,19.90384615,2496,99.6,17,0,1,396.1630917,0,0
36,20,15.90384615,2048,30.5,19,1,1,252.9323225,0,0
34,16,5.057692308,0,65,16,2,2,25.58025148,0,0
36,19,18.75,2080,52,14,0,0,351.5625,0,0
36,16,12.96153846,468,120,16,1,1,168.0014793,0,0
35,13,17.19230769,2340,12,13,0,0,295.5754438,0,0
38,12,12.59615385,1792,85,12,0,1,158.6630917,0,0
37,16,5.692307692,35,81,14,0,2,32.40236686,0,0
34,17,16.69230769,2080,45,12,2,1,278.6331361,0,0
36,12,14.67307692,2313,170,14,0,2,215.2991864,0,0
35,12,7.269230769,160,97.2,16,1,2,52.84171598,0,0
37,19,19.32692308,2750,38.5,14,1,1,373.5299556,0,0
35,18,3.980769231,0,37.5,9,2,0,15.84652367,0,1
35,14,12.28846154,30,35,16,0,5,151.006287,0,0
38,20,20.80769231,2140,40,14,0,2,432.9600592,1,0
34,16,12.67307692,2080,70,16,2,1,160.6068787,0,1
35,19,13.38461538,0,167.5,16,0,1,179.147929,1,0
38,11,8.461538462,0,467.966,12,1,1,71.59763314,0,1
36,13,15,2132,46,12,0,1,225,0,0
37,14,20.26923077,2302,64,14,0,1,410.841716,0,0
37,8,0.403846154,0,65,14,0,0,0.163091716,0,0
35,16,8.038461538,9,47,19,1,2,64.61686391,0,0
34,19,16.48076923,2860,90,18,1,1,271.6157544,0,0
38,20,17.30769231,2600,160,14,2,0,299.556213,0,0
36,18,15.48076923,2600,100,12,1,2,239.654216,0,0
38,18,20.69230769,2060,36.4,16,1,2,428.1715976,0,0
37,16,20.05769231,1924,118.05,18,0,0,402.3110207,0,0
37,18,19.36538462,2090,65,14,0,1,375.0181213,0,0
37,20,18.71153846,2600,14,14,0,0,350.1216716,0,0
36,16,7.538461538,0,90,13,0,2,56.82840237,0,0
34,18,12.05769231,0,250,16,1,0,145.3879438,0,0
34,15,1.846153846,0,40,13,0,3,3.408284024,0,0
35,14,4.480769231,0,60,13,1,1,20.0772929,0,0
37,12,8.75,1196,140.75,12,0,2,76.5625,0,0
38,16,18.09615385,2496,72,16,1,0,327.470784,0,0
35,16,17.92307692,1716,65,18,0,2,321.2366864,0,0
34,12,17.82692308,2080,63,16,0,0,317.7991864,0,0
36,18,3.384615385,0,55,18,2,0,11.4556213,0,0
38,17,20.21153846,2340,120,16,0,2,408.506287,0,0
37,17,18.48076923,4160,75,16,1,1,341.5388314,0,0
35,16,18.36538462,3016,60,16,1,0,337.2873521,0,1
37,18,18.48076923,936,142,15,1,1,341.5388314,0,0
34,16,13.26923077,640,91.75,16,1,0,176.0724852,0,0
38,13,19.98076923,2270,80,14,0,1,399.2311391,0,0
34,16,12.73076923,533,98,12,1,0,162.0724852,0,0
37,18,19.26923077,2132,75,16,3,0,371.3032544,0,0
37,16,17.53846154,2295,87,12,2,0,307.5976331,0,0
38,14,8.692307692,2080,60,17,1,1,75.55621302,0,1
34,13,15.40384615,2078,82,19,0,2,237.2784763,0,0
36,14,13.80769231,1734,45,12,0,2,190.6523669,0,0
34,8,6.173076923,1820,2.4,11,0,3,38.1068787,0,0
34,17,16.25,2040,45,17,1,0,264.0625,0,0
36,12,17.36538462,2080,10.01,12,0,0,301.5565828,0,0
37,16,20.03846154,2080,100,20,2,0,401.5399408,0,0
37,12,19.03846154,2080,58,12,0,0,362.4630178,0,1
34,16,13.32692308,2080,60,18,2,1,177.6068787,0,0
38,16,20,2080,68,16,2,0,400,0,0
38,16,20.55769231,2392,100,12,1,2,422.618713,0,0
37,12,13.76923077,1560,41.1,12,0,4,189.591716,0,0
34,16,17.65384615,2220,72.1,12,0,2,311.658284,0,0
34,12,13.76923077,0,50.01,14,1,1,189.591716,0,1
35,16,14.90384615,600,145,18,2,0,222.1246302,0,0
36,12,16.65384615,1336,0,12,1,3,277.3505917,0,0
35,16,18.57692308,2506,75.05,14,0,0,345.102071,0,0
34,12,16.80769231,2080,15,12,0,2,282.4985207,0,0
36,19,18.34615385,2080,75,14,0,2,336.5813609,0,0
34,17,13.76923077,1508,65,12,0,2,189.591716,0,0
37,12,17.92307692,2080,0,9,0,3,321.2366864,0,0
37,12,15.59615385,1018,21.6,16,0,1,243.2400148,0,0
38,12,17.42307692,1290,65.75,14,0,1,303.5636095,0,0
35,16,17.90384615,1832,59,12,0,2,320.5477071,0,0
37,15,14.25,220,115.408,16,0,2,203.0625,0,0
35,12,19.25,2312,44,13,0,0,370.5625,0,0
38,17,15.71153846,2226,51.579,12,0,2,246.8524408,0,0
37,17,7.711538462,0,90,20,0,4,59.46782544,0,0
37,17,13.82692308,0,175,16,2,0,191.1838018,0,0
38,18,20.05769231,1696,120,16,0,3,402.3110207,0,0
34,12,17.78846154,2080,36,15,1,1,316.4293639,0,0
36,18,18.76923077,2250,75,14,1,2,352.2840237,0,0
36,18,19.09615385,2184,46,17,0,0,364.6630917,0,0
34,12,4.980769231,0,170.001,16,1,2,24.80806213,0,0
37,15,17.75,1876,75.2,14,0,2,315.0625,0,0
37,18,19.61538462,2860,55,13,2,1,384.7633136,0,0
36,17,19.40384615,2080,28,13,1,1,376.5092456,0,0
